局号,随机种子,艺术家,第1季,第2季,第3季,第4季
85,2026091884,蓝汐,0,30,20,10
85,2026091884,莫野,10,0,10,30
85,2026091884,叶织,0,0,0,20
85,2026091884,纪空,30,10,30,0
86,2026091885,林序,10,0,0,20
86,2026091885,蓝汐,20,10,20,0
86,2026091885,莫野,0,30,10,10
86,2026091885,叶织,30,20,30,0
86,2026091885,纪空,0,0,0,30
87,2026091886,林序,10,0,20,20
87,2026091886,蓝汐,20,0,10,0
87,2026091886,莫野,0,30,0,30
87,2026091886,叶织,0,20,0,10
87,2026091886,纪空,30,10,30,0
88,2026091887,林序,20,10,20,0
88,2026091887,蓝汐,30,20,0,0
88,2026091887,莫野,0,30,30,20
88,2026091887,叶织,0,0,0,30
88,2026091887,纪空,10,0,10,10
89,2026091888,林序,0,0,20,20
89,2026091888,蓝汐,20,20,10,0
89,2026091888,莫野,10,0,0,10
89,2026091888,叶织,0,30,30,30
89,2026091888,纪空,30,10,0,0
90,2026091889,林序,0,0,0,0
90,2026091889,蓝汐,10,30,20,0
90,2026091889,莫野,20,20,10,0
90,2026091889,叶织,0,0,0,30
90,2026091889,纪空,30,10,30,0
91,2026091890,林序,0,0,20,10
91,2026091890,蓝汐,20,10,0,20
91,2026091890,莫野,30,30,10,0
91,2026091890,叶织,10,20,30,0
91,2026091890,纪空,0,0,0,30
92,2026091891,林序,0,30,10,10
92,2026091891,蓝汐,0,0,0,0
92,2026091891,莫野,20,0,0,30
92,2026091891,叶织,0,20,20,20
92,2026091891,纪空,30,10,30,0
93,2026091892,林序,0,30,30,0
93,2026091892,蓝汐,10,0,0,30
93,2026091892,莫野,0,0,0,0
93,2026091892,叶织,20,10,20,20
93,2026091892,纪空,30,20,10,10
94,2026091893,林序,0,0,10,20
94,2026091893,蓝汐,10,30,0,30
94,2026091893,莫野,0,0,0,10
94,2026091893,叶织,30,20,20,0
94,2026091893,纪空,20,10,30,0
95,2026091894,林序,0,30,0,10
95,2026091894,蓝汐,30,20,10,0
95,2026091894,莫野,0,10,20,20
95,2026091894,叶织,0,0,0,0
95,2026091894,纪空,20,0,30,30
96,2026091895,林序,0,20,0,20
96,2026091895,蓝汐,20,0,10,10
96,2026091895,莫野,0,0,0,0
96,2026091895,叶织,30,10,30,0
96,2026091895,纪空,10,30,20,30
97,2026091896,林序,0,20,0,20
97,2026091896,蓝汐,0,0,20,10
97,2026091896,莫野,20,0,0,30
97,2026091896,叶织,30,10,10,0
97,2026091896,纪空,10,30,30,0
98,2026091897,林序,20,10,10,0
98,2026091897,蓝汐,30,20,0,10
98,2026091897,莫野,0,0,30,30
98,2026091897,叶织,0,30,20,20
98,2026091897,纪空,10,0,0,0
99,2026091898,林序,20,20,0,0
99,2026091898,蓝汐,0,0,30,20
99,2026091898,莫野,10,10,20,0
99,2026091898,叶织,30,30,10,10
99,2026091898,纪空,0,0,0,30
100,2026091899,林序,0,0,20,30
100,2026091899,蓝汐,10,10,0,0
100,2026091899,莫野,0,0,0,20
100,2026091899,叶织,30,20,10,0
100,2026091899,纪空,20,30,30,10
101,2026091900,林序,0,30,30,10
101,2026091900,蓝汐,20,0,0,20
101,2026091900,莫野,30,20,10,0
101,2026091900,叶织,0,10,20,30
101,2026091900,纪空,10,0,0,0
102,2026091901,林序,20,0,0,30
102,2026091901,蓝汐,30,10,20,0
102,2026091901,莫野,0,0,0,20
102,2026091901,叶织,10,20,10,0
102,2026091901,纪空,0,30,30,10
103,2026091902,林序,20,10,30,10
103,2026091902,蓝汐,10,30,20,0
103,2026091902,莫野,0,0,0,0
103,2026091902,叶织,0,0,10,30
103,2026091902,纪空,30,20,0,20
104,2026091903,林序,0,30,20,0
104,2026091903,蓝汐,20,10,30,0
104,2026091903,莫野,10,0,0,20
104,2026091903,叶织,0,0,0,30
104,2026091903,纪空,30,20,10,10
105,2026091904,林序,0,0,0,0
105,2026091904,蓝汐,10,0,20,0
105,2026091904,莫野,20,20,0,20
105,2026091904,叶织,30,10,10,0
105,2026091904,纪空,0,30,30,30
106,2026091905,林序,20,10,0,30
106,2026091905,蓝汐,0,30,20,10
106,2026091905,莫野,0,0,0,20
106,2026091905,叶织,30,20,10,0
106,2026091905,纪空,10,0,30,0
107,2026091906,林序,20,30,0,0
107,2026091906,蓝汐,30,10,10,0
107,2026091906,莫野,0,20,0,0
107,2026091906,叶织,10,0,30,20
107,2026091906,纪空,0,0,20,30
108,2026091907,林序,30,10,20,10
108,2026091907,蓝汐,0,0,0,30
108,2026091907,莫野,0,30,30,0
108,2026091907,叶织,20,20,10,0
108,2026091907,纪空,10,0,0,20
109,2026091908,林序,0,0,0,30
109,2026091908,蓝汐,0,10,0,20
109,2026091908,莫野,30,0,20,10
109,2026091908,叶织,10,30,10,0
109,2026091908,纪空,20,20,30,0
110,2026091909,林序,0,0,0,30
110,2026091909,蓝汐,30,20,0,0
110,2026091909,莫野,0,0,30,20
110,2026091909,叶织,0,30,20,10
110,2026091909,纪空,20,10,10,0
111,2026091910,林序,20,0,20,10
111,2026091910,蓝汐,30,20,0,0
111,2026091910,莫野,0,0,0,0
111,2026091910,叶织,0,10,10,30
111,2026091910,纪空,10,30,30,20
112,2026091911,林序,10,10,0,20
112,2026091911,蓝汐,0,0,0,10
112,2026091911,莫野,20,0,10,0
112,2026091911,叶织,30,30,30,0
112,2026091911,纪空,0,20,20,30
113,2026091912,林序,10,0,20,0
113,2026091912,蓝汐,20,30,10,0
113,2026091912,莫野,30,20,0,30
113,2026091912,叶织,0,10,30,20
113,2026091912,纪空,0,0,0,10
114,2026091913,林序,0,0,20,30
114,2026091913,蓝汐,30,20,0,0
114,2026091913,莫野,0,0,10,20
114,2026091913,叶织,0,30,0,0
114,2026091913,纪空,20,10,30,10
115,2026091914,林序,20,30,10,0
115,2026091914,蓝汐,10,10,30,10
115,2026091914,莫野,0,0,0,20
115,2026091914,叶织,30,20,20,0
115,2026091914,纪空,0,0,0,30
116,2026091915,林序,0,20,0,10
116,2026091915,蓝汐,30,0,20,20
116,2026091915,莫野,10,30,30,0
116,2026091915,叶织,0,10,0,0
116,2026091915,纪空,20,0,10,30
117,2026091916,林序,0,0,0,30
117,2026091916,蓝汐,20,10,20,0
117,2026091916,莫野,10,20,10,20
117,2026091916,叶织,0,0,0,10
117,2026091916,纪空,30,30,30,0
118,2026091917,林序,0,30,20,20
118,2026091917,蓝汐,30,20,10,0
118,2026091917,莫野,20,0,0,0
118,2026091917,叶织,0,0,30,30
118,2026091917,纪空,10,10,0,0
119,2026091918,林序,20,10,20,20
119,2026091918,蓝汐,30,30,10,0
119,2026091918,莫野,10,20,30,10
119,2026091918,叶织,0,0,0,30
119,2026091918,纪空,0,0,0,0
120,2026091919,林序,0,0,30,20
120,2026091919,蓝汐,20,20,10,0
120,2026091919,莫野,0,0,0,30
120,2026091919,叶织,10,10,0,10
120,2026091919,纪空,30,30,20,0
121,2026091920,林序,0,0,0,20
121,2026091920,蓝汐,20,20,20,0
121,2026091920,莫野,10,0,30,10
121,2026091920,叶织,30,30,10,0
121,2026091920,纪空,0,10,0,30
122,2026091921,林序,20,10,0,0
122,2026091921,蓝汐,10,30,20,0
122,2026091921,莫野,0,0,10,20
122,2026091921,叶织,30,20,0,10
122,2026091921,纪空,0,0,30,30
123,2026091922,林序,20,0,20,20
123,2026091922,蓝汐,10,0,0,10
123,2026091922,莫野,0,10,10,0
123,2026091922,叶织,30,30,30,0
123,2026091922,纪空,0,20,0,30
124,2026091923,林序,10,20,0,20
124,2026091923,蓝汐,0,0,30,10
124,2026091923,莫野,0,0,0,30
124,2026091923,叶织,20,30,20,0
124,2026091923,纪空,30,10,10,0
125,2026091924,林序,0,0,20,20
125,2026091924,蓝汐,30,10,0,0
125,2026091924,莫野,0,20,0,30
125,2026091924,叶织,0,0,10,0
125,2026091924,纪空,20,30,30,10
126,2026091925,林序,0,0,30,20
126,2026091925,蓝汐,20,20,20,0
126,2026091925,莫野,30,10,0,0
126,2026091925,叶织,0,0,0,30
126,2026091925,纪空,10,30,10,10
127,2026091926,林序,0,0,0,0
127,2026091926,蓝汐,10,0,20,30
127,2026091926,莫野,0,20,30,10
127,2026091926,叶织,30,10,10,0
127,2026091926,纪空,20,30,0,20
128,2026091927,林序,30,20,10,0
128,2026091927,蓝汐,10,30,20,10
128,2026091927,莫野,0,0,0,20
128,2026091927,叶织,0,0,0,0
128,2026091927,纪空,20,0,30,30
129,2026091928,林序,20,20,20,0
129,2026091928,蓝汐,0,0,0,30
129,2026091928,莫野,0,30,10,20
129,2026091928,叶织,10,0,0,0
129,2026091928,纪空,30,10,30,10
130,2026091929,林序,0,0,0,10
130,2026091929,蓝汐,0,20,20,30
130,2026091929,莫野,10,0,0,20
130,2026091929,叶织,30,10,10,0
130,2026091929,纪空,20,30,30,0
131,2026091930,林序,20,10,20,0
131,2026091930,蓝汐,30,30,10,0
131,2026091930,莫野,0,0,0,10
131,2026091930,叶织,0,20,30,20
131,2026091930,纪空,10,0,0,30
132,2026091931,林序,0,10,30,20
132,2026091931,蓝汐,0,0,0,30
132,2026091931,莫野,0,0,0,0
132,2026091931,叶织,20,30,20,10
132,2026091931,纪空,30,20,10,0
133,2026091932,林序,0,30,20,10
133,2026091932,蓝汐,0,0,0,30
133,2026091932,莫野,20,0,30,0
133,2026091932,叶织,10,20,0,0
133,2026091932,纪空,30,10,10,20
134,2026091933,林序,0,0,0,10
134,2026091933,蓝汐,20,20,20,0
134,2026091933,莫野,10,0,0,30
134,2026091933,叶织,30,10,10,0
134,2026091933,纪空,0,30,30,20
135,2026091934,林序,0,20,20,10
135,2026091934,蓝汐,20,30,10,0
135,2026091934,莫野,0,0,0,20
135,2026091934,叶织,10,0,0,30
135,2026091934,纪空,30,10,30,0
136,2026091935,林序,30,10,20,0
136,2026091935,蓝汐,20,20,10,20
136,2026091935,莫野,10,30,30,10
136,2026091935,叶织,0,0,0,0
136,2026091935,纪空,0,0,0,30
137,2026091936,林序,10,0,0,0
137,2026091936,蓝汐,0,20,10,20
137,2026091936,莫野,0,0,0,30
137,2026091936,叶织,20,30,20,10
137,2026091936,纪空,30,10,30,0
138,2026091937,林序,10,0,30,10
138,2026091937,蓝汐,30,20,10,0
138,2026091937,莫野,0,30,20,30
138,2026091937,叶织,20,10,0,0
138,2026091937,纪空,0,0,0,20
139,2026091938,林序,0,0,30,20
139,2026091938,蓝汐,20,10,20,10
139,2026091938,莫野,30,30,10,0
139,2026091938,叶织,10,0,0,30
139,2026091938,纪空,0,20,0,0
140,2026091939,林序,20,20,20,0
140,2026091939,蓝汐,0,0,0,30
140,2026091939,莫野,30,10,10,0
140,2026091939,叶织,10,30,30,20
140,2026091939,纪空,0,0,0,10
141,2026091940,林序,20,20,20,0
141,2026091940,蓝汐,0,30,0,30
141,2026091940,莫野,0,0,0,20
141,2026091940,叶织,10,0,10,0
141,2026091940,纪空,30,10,30,10
142,2026091941,林序,30,20,10,0
142,2026091941,蓝汐,20,10,20,0
142,2026091941,莫野,10,30,0,0
142,2026091941,叶织,0,0,0,30
142,2026091941,纪空,0,0,30,20
143,2026091942,林序,0,30,0,0
143,2026091942,蓝汐,0,0,0,0
143,2026091942,莫野,20,0,20,20
143,2026091942,叶织,30,10,10,0
143,2026091942,纪空,10,20,30,30
144,2026091943,林序,0,10,30,10
144,2026091943,蓝汐,30,20,10,0
144,2026091943,莫野,0,0,0,20
144,2026091943,叶织,0,0,0,30
144,2026091943,纪空,20,30,20,0
145,2026091944,林序,20,0,30,10
145,2026091944,蓝汐,0,0,0,20
145,2026091944,莫野,30,30,20,0
145,2026091944,叶织,0,20,10,30
145,2026091944,纪空,10,10,0,0
146,2026091945,林序,20,20,10,20
